study_id,title,description
EGAS00001004355,cell free dna fragmentation patterns  personalized sequencing reveal circulating tumor dna  urine  plasma  glioma patients,"Glioma-derived cell-free DNA (cfDNA) is challenging to detect using liquid biopsy as levels in body fluids are low.
We determined the glioma-derived DNA fractions in tumor biopsies, in cerebrospinal fluid (CSF), plasma and urine samples, using deep sequencing of personalized capture panels. By sequencing cfDNA across thousands of mutations identified individually in each patient’s matched tumor we detected tumor-derived DNA in plasma (10/12) and urine samples (8/11). The median tumor fraction was 6.4x10-3 in CSF, 3.1x10-5 in plasma and 4.7x10-5 in urine. We identified a shift in the size distribution for mutant cfDNA fragments in these body fluids.
Next, we analyzed cfDNA fragment sizes with paired-end shallow whole genome sequencing (WGS) in urine samples from 35 patients with gliomas, 8 individuals with non-malignant brain disorders, and 26 controls (n=69 individuals, 96 samples). cfDNA in urine of glioma patients was significantly more fragmented compared to urine from patients with non-malignant brain disorders (t-test, p=1.7x10-2) and compared to urine of controls (t-test, p=5.2x10-9). The proportion of DNA fragments &lt;60 bp was higher in glioma patients urine and could be used for classification (AUC=0.93). Machine learning models integrating fragment lengths could identify urine samples from glioma patients (AUC=0.97 in cross-validation)."
EGAS00001003532,sequencing  infant high grade gliomas,"Infant high grade gliomas appear distinct from their counterparts in older children, indicating that grading may not accurately reflect the biology of these tumours. We have collected 228 cases under 4 years of age, and carried out histological review, methylation profiling (217), custom panel (15) and genome (20)/exome (12) sequencing. After excluding cases representing other established entities or subgroups, we identified 120 cases to be part of an intrinsic spectrum of disease in the infant population. These included those with targetable MAP-kinase alterations, and a large proportion of remaining cases to harbour gene fusions targeting ALK, NTRK1/2/3, ROS1 and MET as their driving alterations, with evidence of efficacy of targeted agents in the clinic. Infant gliomas require a change in diagnostic practise and management."
EGAS00001003835,genome   bottle,
EGAS00001003836,single cell genomics  transcriptomics studies  human oocytes,Single cell genomics and transcriptomics studies will be undertaken on oocytes from healthy donors (different ages and different stages of differentiation) in order to study the extend of cellular heterogeneity and the contribution of acquired somatic genetic mutations to due to aging and its effect on genes transcription.
EGAS00001005276,genomic  transcriptomic profile  paired primary metastasis colorectal tumors,
EGAS00001005258,cd27hicd38hi plasmablasts  activated  cells  mixed origin  distinct function,
EGAS00001003563,genetic alterations  benign breast biopsies  subsequent breast cancer patients,"Fibrocystic changes are associated with an increased risk of breast cancer (approximately 1.5-2 times that of the general population). Although the relative risk seems low, because of the high frequency of such changes, the absolute risk is significant. Genetic alterations have been found in fibrocystic changes with or without epithelial changes, suggesting that critical oncogenic events are occurring at an early stage. We investigated a unique collective of 17 breast cancer patients who, prior to the diagnosis of invasive breast cancer, underwent open surgical biopsy showing fibrocystic changes of the breast. Massive parallel sequencing targeting genes frequently mutated in breast cancer was performed on the fibrocystic breast tissue as well as the ensuing cancer tissue."
EGAS00001005320,secondary resistance  anti egfr therapy  transcriptional reprogramming  patient derived colorectal cancer models hipo b012,
EGAS00001005481, exome sequencing  paediatric ibd patients,Whole-exome sequencing of paediatric IBD patients
EGAS00001005349, xq22 3 contiguous gene deletion syndrome ats   genotype   delineation   phenotype,
EGAS00001003821,preservation  stemness  high grade serous ovarian cancer organoids requires low wnt environment,"High-grade serous ovarian cancer (HGSOC) likely originates from the fallopian tube (FT) epithelium, but advanced stages are mostly found outside the FT. We used ex-vivo cultures of HGSOC  and knock-out of tumor suppressors in FT organoids to study changes in epithelial cells and niche requirements for normal and transformed FT cells. We found that transformed cells require BMP signaling and are growth arrested in Wnt rich  medium."
EGAS00001000096,identification  improved il28b snps  haplotypes  prediction  drug response  treatment  hepatitis   massively parallel sequencing   cross sectional european cohort,NA
EGAS00001004159,genomic analysis  prostate cancer,
EGAS00001005631,genomic drivers  large  cell lymphoma resistance  cd19 car t therapy,
EGAS00001003825,exome sequencing  fibromyalgia patients,"Fibromyalgia is a complex disorder characterized by increased sensitivity to pain and extreme tiredness. It affects mostly women, and its causes are unknown. 
In this study we have performed exome sequencing of 87 fibromyalgia cases, including some sibling pairs, to perform rare variant association analysis and identify fibromyalgia risk factors.
A few of the included samples have been also included in a previous GWAS study."
EGAS00001003823,gene epression regulation  cytokine induced immune cell states,We isolated T cells and monocotyes from healthy platelet donors and cultured them in resting and stimulated conditions with addition of a range of cytokines. We performed RNA sequencing to assess impact of different disease-relevant cytokines upon immune cell responses.
EGAS00001004707,resident memory cd8 t cell  human lung cancer,
EGAS00001003864,mutational profiling  mds bulk mononuclear cells  hematopoietic stem cells,
EGAS00001001260,understand paratyphoid disease host responses  human challenge   paratyphi ,"This project aims to evaluate the transcriptional response to disease measured in whole blood of participants who developed enteric fever after challenge and, importantly, those who were challenged but stayed well throughout the challenge period. This data will provide unique coverage of the transcriptome and will yield invaluable insight after integration with a wealth of clinical data collected during this trial.      This data is part of a pre-publication release. For information on the proper use of pre-publication data shared by the Wellcome Trust Sanger Institute (including details of any publication moratoria), please see http://www.sanger.ac.uk/datasharing/"
EGAS00001001283,il 10 signalling  macrophage gene expression,"Study to stimulate WT and IL-10RB mutant macrophages with LPS in presence or absence of recombinant IL-10 and compare their gene expression profiles by RNASeqThese data are part of a pre-publication release. For information on the proper use of pre-publication data shared by the Wellcome Trust Sanger Institute (including details of any publication moratoria), please see http://www.sanger.ac.uk/datasharing/"
